Elo_Diff,Elo_Surface_Diff,H2H_Advantage,Recent_Form_10_Diff,Age_Diff,Tournament_Titles_Diff_Dynamic,Grand_Titles_Diff_Dynamic,Round_Ordinal,Series_Ordinal,Court_Indoor,Best_of_5,Surface_Clay,Surface_Grass,Surface_Hard
-0.7363067935220897,-1.4049311961666715,0.0,0.0,-2.0,0.0,0.0,5,1,0,0,0,0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,1
0.0,0.0,0.0,0.0,-6.0,0.0,0.0,1,1,0,0,0,0,1
32.0,0.0,0.0,0.0,-3.0,0.0,0.0,1,1,0,0,0,0,1
-0.0338330211206994,0.0,0.0,0.0,23.0,0.0,0.0,1,1,0,0,0,0,1
47.200829331975,0.0,0.0,0.0,-8.0,0.0,0.0,1,1,0,0,0,0,1
1.4371417400868722,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,1
14.498430668622175,0.0,0.0,0.0,6.0,0.0,0.0,1,1,0,0,0,0,1
0.0,16.0,0.0,1.0,2.0,0.0,0.0,2,1,0,0,0,0,1
0.7023986633528239,0.0,0.0,0.0,7.0,0.0,0.0,2,1,0,0,0,0,1
16.73630679352209,-16.0,0.0,0.0,-1.0,0.0,0.0,2,1,0,0,0,0,1
16.77013981464279,15.26369320647791,0.0,0.0,-5.0,0.0,0.0,1,1,0,0,0,0,1
32.702398663352824,0.0,0.0,0.0,5.0,0.0,0.0,2,1,0,0,0,0,1
32.033908130169266,0.0,0.0,0.0,-2.0,0.0,0.0,2,1,0,0,0,0,1
-0.7363067935220897,0.0,0.0,0.0,-1.0,0.0,0.0,5,1,0,0,0,0,1
16.0,15.26369320647791,0.0,0.0,-1.0,0.0,0.0,5,1,0,0,0,0,1
0.0,-15.26369320647791,0.0,0.0,-3.0,0.0,0.0,5,1,0,0,0,0,1
-0.7363067935220897,-16.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0,0,0,1
0.0,0.0,0.0,0.0,-5.0,0.0,0.0,6,1,0,0,0,0,1
0.7363067935220897,16.70246717252462,0.0,0.0,9.0,0.0,0.0,1,1,0,0,0,0,1
16.0,0.7363067935220897,0.0,0.0,-5.0,0.0,0.0,6,1,0,0,0,0,1
16.0,16.0,0.0,0.0,-23.0,0.0,0.0,1,1,0,0,0,0,1
32.00304078983845,33.34171307787415,0.0,0.75,-17.0,0.0,0.0,1,1,0,0,0,0,1
-31.228377312098928,-30.52738641295582,0.0,-0.6666666666666666,-28.0,0.0,0.0,1,1,0,0,0,0,1
0.0,0.0,0.0,0.0,-56.0,0.0,0.0,1,1,0,0,0,0,1
-15.966091869830734,-15.231414954253523,0.0,0.0,-10.0,0.0,0.0,1,1,0,0,0,0,1
